,Andorra,Argentina,Australia,Austria,Belarus,Belgium,Botswana,Brazil,Canada,Chile,China,Colombia,Croatia,Czechia,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,International,Iraq,Ireland,Israel,Italy,Japan,Jordan,"Korea, South",Kyrgyzstan,Latvia,Lebanon,Liechtenstein,Lithuania,Malta,Mexico,Monaco,Netherlands,New Zealand,Norway,Pakistan,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tunisia,Turkey,Ukraine,United Kingdom,United States,Unknown
2011,,,79.16145833333333,83.05,,83.44444444444444,,72.33809523809524,78.946783625731,96.5,,,,69.625,75.625,85.41666666666666,78.75,74.510284992785,80.67931547619048,75.0013997113997,79.51481481481481,89.41666666666667,89.0,,,77.5,,85.53162393162393,,71.87034161490683,76.00961538461539,,,,90.0,68.0,,,,82.0,,73.48755411255412,79.625,76.15981925968768,,,81.64246031746032,85.375,,,,73.0,85.04166666666667,,,73.0,76.51074635241301,85.0,84.4,,76.33333333333333,76.27764591730111,74.46221162703189,
2012,,,78.60699404761904,,,79.41666666666667,50.0,,83.58641296974629,,,70.0,,77.44444444444444,82.93571428571428,76.5,,75.23361626933055,79.23660714285715,79.2051282051282,75.21428571428571,90.5,91.125,,81.0,44.333333333333336,,,,71.73786181139123,86.52197802197803,,,,11.0,,,,70.0,78.85714285714286,,81.14166666666667,,81.39166666666667,,61.2,86.35480769230769,86.5,55.0,77.45833333333334,81.33333333333333,84.33333333333333,55.0,,,72.77777777777777,79.837641723356,73.14285714285714,,,74.15,79.05698983297023,74.75316800242655,85.75
2013,98.6,,83.35,75.515625,,68.33333333333333,,72.8079365079365,82.93418803418805,94.5,93.0,88.08333333333333,,82.16666666666667,72.0952380952381,,84.66666666666667,77.81224083456225,71.6504329004329,76.64049575780345,77.4375,94.0,92.6,,,89.5,,84.57692307692308,87.66666666666667,72.10757575757576,73.23333333333333,,,67.0,,,,,,87.0,,77.6375,80.0,77.92613181504485,,,75.89814814814814,79.33333333333333,70.0,83.42857142857142,,86.46428571428572,82.5,77.5,75.33333333333333,76.02777777777779,76.1275555070513,81.0,,,,78.25794928814251,76.27396245080453,
2014,,,78.125,64.625,68.0,84.8,86.0,71.66666666666666,82.73496503496503,75.25,86.0,,,77.0,76.0,40.0,,74.60108604845446,70.12261904761905,81.29874904507258,77.65454545454544,,82.58333333333334,79.0,,64.5,,79.77777777777777,,80.6875,81.1190476190476,,,,,,,,,89.0,,74.85821428571428,96.0,68.18607442977192,,,79.20143613000755,80.0,,77.5,82.5,,,,,53.642857142857146,74.90952704702707,83.29166666666667,,,86.25,79.09056637806637,76.55919913419913,72.5
2015,,,79.65,,71.5,80.29166666666666,,67.3888888888889,66.61904761904762,,87.5,69.0,,,79.8,,,80.80827790630421,80.375,72.61715167548502,89.3,91.5,,,92.0,,40.0,73.5,86.86111111111111,76.41111111111111,62.910714285714285,,,,81.0,,,,,,,72.06944444444444,,85.46428571428571,,81.33333333333333,79.1153439153439,81.5,50.5,80.4,,79.6,85.66666666666667,90.0,,5.25,78.29691558441559,85.0,,,82.3,79.74045454545455,74.30963203463205,
2016,,,86.91666666666667,94.0,,89.5,90.0,90.0,79.25238095238095,,90.0,95.0,,91.5,86.55555555555554,,,79.4386574074074,80.17040598290599,78.15124999999999,86.54761904761905,83.66666666666667,73.0,,,72.66666666666666,,,,80.11238095238096,85.75,,,75.0,,,,,,70.0,,71.11,100.0,81.13350168350169,,74.5,82.26041666666666,89.0,40.0,86.83333333333333,,,95.16666666666666,,65.0,82.33333333333333,73.00510792552315,75.41666666666667,90.66666666666667,,,78.00555555555555,76.52886891510488,
2017,86.83333333333333,,80.33333333333334,80.75,,84.66666666666666,,72.79166666666666,72.64545454545454,83.6111111111111,10.0,,,,74.5,79.11111111111111,,72.15923793859649,74.94047619047618,72.75946275946275,80.70555555555555,,77.0,85.0,,86.0,,,,73.25,80.72222222222221,,,,,,,,78.75,90.0,,84.5,,80.00833333333334,,,89.12962962962963,83.0,,,85.0,77.16666666666666,,88.0,,100.0,76.44047619047619,76.0,,51.0,79.5,78.97839285714285,78.06161918604884,
2018,,,84.08333333333333,76.5,,68.66666666666667,70.0,87.18333333333334,73.26870748299321,,55.0,,,80.0,84.0,,,81.19111111111111,69.44444444444444,74.0915750915751,85.11111111111111,92.5,86.16666666666666,,90.0,,,91.0,96.0,85.0,85.3,,,,,86.0,,,,,,82.20833333333334,,82.69730392156863,,,79.34432234432235,,,91.0,,85.0,,,,30.5,76.86026999316472,85.0,,,86.3,82.80378787878787,76.35211518439364,
2019,,,70.1,78.33333333333334,,82.5,,55.0,83.0625,88.5,70.0,,,54.0,80.17777777777779,,80.42857142857143,80.11666666666667,80.97222222222221,80.13133333333333,79.0,,,,,85.5,,,,83.35757575757576,85.25,,,,,,,,68.0,,,77.3125,37.5,82.30499999999999,,,85.2,73.58333333333334,,87.66666666666667,,,,85.0,75.0,89.2,78.35057531357532,87.8,85.5,,,83.08970588235294,77.95175313906657,
2020,,,,66.0,,,,90.0,74.0,,,,,,,,,77.66666666666667,,73.8125,100.0,88.5,,,,,,,,,88.0,,,,,,,,,,,87.75,,,,,,,,,,,,,,,,,,,,45.0,85.5,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
