id,name,genre,reviews,rating,songs,seconds,genre_black,genre_death,genre_deathcore,genre_doom,genre_folk,genre_gothic,genre_grindcore,genre_heavy,genre_metalcore,genre_power,genre_progressive,genre_symphonic,genre_thrash,word_count,word_count_uniq,words_per_song,words_per_song_uniq,seconds_per_song,word_rate,word_rate_uniq,unique_first_words,N,types,TTR,logTTR,MTLD,logMTLD,vocd-D,logvocd-D
1153,Enthroned,Black Metal,38,78.56,62,1.738e+04,1,0,0,0,0,0,0,0,0,0,0,0,0,10115,2201,163.1,35.5,280.4,0.5819,0.1266,2185,10115,2201,0.2176,0.8346,413.8,6.025,88.05,4.478
197,Krisiun,Death Metal,58,78.7,87,2.371e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,13004,2551,149.5,29.32,272.5,0.5485,0.1076,2186,13004,2551,0.1962,0.8281,607.1,6.409,84.93,4.442
186,Cannibal Corpse,Death Metal,240,80.6,166,3.497e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,32535,4706,196,28.35,210.6,0.9305,0.1346,2188,32535,4706,0.1446,0.8139,360.1,5.886,157.1,5.057
139,Nile,Brutal/Technical Death Metal,129,79.78,72,2.185e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,12007,2559,166.8,35.54,303.4,0.5496,0.1171,2192,12007,2559,0.2131,0.8354,366.9,5.905,86.52,4.46
12,Bal-Sagoth,Symphonic/Epic Black Metal,41,88.5,51,1.602e+04,1,0,0,0,0,0,0,0,0,0,0,1,0,21408,3774,419.8,74,314.1,1.336,0.2356,2198,21408,3774,0.1763,0.8259,632.9,6.45,90.09,4.501
1094,Jungle Rot,Death Metal,33,82.56,93,1.691e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,11216,2467,120.6,26.53,181.8,0.6634,0.1459,2207,11216,2467,0.22,0.8376,468.6,6.15,146.1,4.984
315,Razor,Speed/Thrash Metal,60,83.5,82,1.752e+04,0,0,0,0,0,0,0,0,0,0,0,0,1,13842,2695,168.8,32.87,213.7,0.7899,0.1538,2231,13842,2695,0.1947,0.8284,593.4,6.386,129.2,4.861
59,Lamb of God,Groove Metal/Metalcore,100,68.88,80,2.038e+04,0,0,0,0,0,0,0,0,1,0,0,0,0,14131,2810,176.6,35.12,254.8,0.6932,0.1378,2237,14131,2810,0.1989,0.831,305.2,5.721,120,4.787
419,Sodom,Black/Speed Metal (early); Thrash Metal (later),171,80.2,148,3.507e+04,1,0,0,0,0,0,0,0,0,0,0,0,1,26055,3945,176,26.66,237,0.7429,0.1125,2253,26055,3945,0.1514,0.8143,277.4,5.626,126.7,4.842
958,Tourniquet,Thrash/Heavy Metal,36,79,97,3.024e+04,0,0,0,0,0,0,0,1,0,0,0,0,1,15698,3045,161.8,31.39,311.8,0.5191,0.1007,2256,15698,3045,0.194,0.8302,464.6,6.141,131.6,4.88
